QuestionId,Question,language,Type,Categorie,LLM,answer,correctness,relevance,specificity
1G naive RAG,Was ist der Stellenwert von PRRT innerhalb GEP-NET?,german,general,therapy,claude-3-opus-20240229 naive RAG,"Die Peptid-Rezeptor-Radionuklid-Therapie (PRRT) hat sich als eine wichtige Behandlungsoption für Patienten mit gut differenzierten GEP-NETs der Grade G1 und G2 etabliert. Diese Therapieform nutzt die Expression von Somatostatinrezeptoren auf den Tumoren, um gezielt radioaktive Substanzen zu den Krebszellen zu transportieren und diese zu zerstören. PRRT wird insbesondere nach dem Versagen von Standardbehandlungen wie Somatostatinanaloga und zielgerichteten Medikamenten wie Everolimus oder Chemotherapie eingesetzt. In klinischen Studien hat PRRT eine Verlängerung des progressionsfreien Überlebens und eine Verbesserung der Lebensqualität im Vergleich zu anderen Behandlungen gezeigt (""Rogoza et al. - 2022 - Role of Somatostatin Signalling in Neuroendocrine"", 15).",,,
1E naive RAG,What is the role of PRRT in GEP-NET?,english,general,therapy,claude-3-opus-20240229 naive RAG,"Peptide Receptor Radionuclide Therapy (PRRT) is utilized as a treatment option for patients with Gastroenteropancreatic Neuroendocrine Tumors (GEP-NETs), particularly for those classified as G1 and G2. PRRT, specifically with 177Lu-DOTATATE, has shown to significantly improve progression-free survival (PFS) and overall health quality of life in these patients compared to high-dose octreotide, a somatostatin analogue (""Harris and Zhernosekov - 2022""). Additionally, PRRT is considered for use as a third-line therapy in advanced locoregional disease following the failure of initial treatments such as somatostatin analogues (SSAs), everolimus, and cytotoxic chemotherapy (""Rogoza et al. - 2022"").",,,
2G naive RAG,Für welche Indikationen ist PRRT zugelassen?,german,specific,therapy,claude-3-opus-20240229 naive RAG,"PRRT ist für die Behandlung von gut differenzierten neuroendokrinen Tumoren (NETs) der Grade G1 und G2 zugelassen, die Somatostatinrezeptoren exprimieren. Diese Behandlung ist besonders geeignet für gastroenteropankreatische NETs (GEP-NETs) (""Harris and Zhernosekov - 2022"").",,,
2E naive RAG,For which indication is PRRT approved?,english,specific,therapy,claude-3-opus-20240229 naive RAG,"PRRT is approved for the treatment of adult patients with SST-positive gastroenteropancreatic neuroendocrine tumors (GEP-NETs) (""Fani et al. - 2022""). Additionally, it has received approval for the treatment of well-differentiated gastroenteropancreatic NETs and for metastatic midgut NETs in France (""Camus et al. - 2021"").",,,
3G naive RAG,Welche Rolle spielt PRRT im chirurgischen Setting bei GEP-NET?,german,specific,therapy,claude-3-opus-20240229 naive RAG,"PRRT kann im chirurgischen Setting bei GEP-NET als neoadjuvante oder adjuvante Therapie eingesetzt werden. Neoadjuvant angewendet, kann PRRT die Tumorgröße reduzieren und die Rate der kurativen Resektion erhöhen, wie aus einer Studie hervorgeht, in der die Tumorgröße von 59 mm auf 50 mm reduziert wurde und die Rate der kurativen Resektion 65% betrug (""Hirmas et al. - 2018""). Im adjuvanten Setting nach der Chirurgie kann PRRT das Tumorwachstum nach chirurgischer Manipulation verhindern oder das weitere Wachstum von bereits vorhandenen Mikrometastasen verhindern, obwohl es nur wenige Studien zu dieser Anwendung gibt und keine randomisierten Studien vorliegen, die eine bestimmte Behandlungsstrategie favorisieren (""Hirmas et al. - 2018"").",,,
3E naive RAG,What is the place of using PRRT in the surgical setting in GEP-NET?,english,specific,therapy,claude-3-opus-20240229 naive RAG,"Peptide Receptor Radionuclide Therapy (PRRT) can be utilized in the surgical setting for gastroenteropancreatic neuroendocrine tumors (GEP-NETs) both as a neoadjuvant and adjuvant treatment. Neoadjuvant PRRT has been shown to reduce tumor size and increase the rate of curative resection, while adjuvant PRRT is used to prevent tumor growth after surgical manipulation or to inhibit the growth of pre-existing micrometastases. However, the evidence supporting the use of PRRT in these settings is limited, with few studies available and no published randomized trials specifically favoring adjuvant PRRT (""Hirmas et al. - 2018 - Peptide Receptor Radionuclide Therapy and the Treatment of Gastroenteropancreatic Neuroendocrine Tumors"").",,,
4G naive RAG,Was ist Peptidrezeptor-Radionuklid-Therapie (PRRT)?,german,general,definition,claude-3-opus-20240229 naive RAG,"Peptidrezeptor-Radionuklid-Therapie (PRRT) ist eine Behandlungsmethode für neuroendokrine Tumoren (NETs), die hochaffine Somatostatinrezeptoren (SSTRs) exprimieren. Diese Therapie nutzt Radiopharmaka, die aus einem radioaktiven Isotop, einem Trägermolekül (Ligand) und einem Chelator bestehen. Die Liganden, wie Octreotid oder Octreotat, binden an die SSTRs der Tumorzellen. Nach der Bindung werden die Radiopharmaka in die Zellen aufgenommen und speichern die Radioaktivität in den Lysosomen, was zu DNA-Schäden und dem Absterben der Tumorzelle führt (""Nuclear Medicine and Molecular Imaging"" 52 (2018): 190-199).",,,
4E naive RAG,What is Peptide Receptor Radionuclide Therapy (PRRT)?,english,general,definition,claude-3-opus-20240229 naive RAG,"Peptide Receptor Radionuclide Therapy (PRRT) is a targeted radionuclide therapy that delivers cytotoxic radiation to cancer cells through the specific binding of radiolabeled peptides to peptide receptors, which are expressed in higher density on the tumor cell membrane compared to non-tumor tissues. This therapy is particularly used for treating nonoperable or metastatic neuroendocrine neoplasms that frequently express somatostatin receptors. PRRT utilizes radiolabeled somatostatin analogues that bind to these receptors, allowing for targeted delivery of radiation to the tumor cells, thereby causing their destruction (""New Developments in Peptide Receptor Radionuclide Therapy,"" Nicolas et al.).",,,
5G naive RAG,Wie viele PRRT-Behandlungen kann man bekommen?,german,specific,therapy,claude-3-opus-20240229 naive RAG,"Die am häufigsten verwendete Behandlungsschema für PRRT mit ^177Lu-DOTATATE umfasst vier Zyklen (A Clinical Guide to Peptide Receptor Radionuclide Therapy, 5). In einigen Fällen kann eine Salvage-Therapie mit zusätzlichen Zyklen in Betracht gezogen werden, wenn keine besseren Optionen verfügbar sind (Hirmas et al. - 2018 - Peptide Receptor Radionuclide Therapy and the Treatment of NETs, 196).",,,
5E naive RAG,How many PRRT treatments can you have?,english,specific,therapy,claude-3-opus-20240229 naive RAG,"The most commonly used treatment schedule for PRRT with ^177Lu-DOTATATE typically includes four cycles (""A Clinical Guide to Peptide Receptor Radionuclide Therapy,"" 5). However, in cases of salvage therapy, two additional cycles may be considered, making a total of six cycles possible under certain circumstances (""Hirmas et al. - 2018 - Peptide Receptor Radionuclide Therapy and the Treatment,"" 196).",,,
6G naive RAG,Wie viel kostet eine Behandlung mit PRRT?,german,specific,cost,claude-3-opus-20240229 naive RAG,"Die durchschnittlichen Gesamtkosten für die Behandlung mit PRRT betrugen 8835 Euro pro Person pro Monat (13652826, 2022, 4).",,,
6E naive RAG,How much does a PRRT treatment cost?,english,specific,cost,claude-3-opus-20240229 naive RAG,"The median total healthcare resource use (HRU) cost for PRRT treatment is €8835 per person per month (13652826, 2022, 4).",,,
7G naive RAG,Welche Isotope werden für die Therapie und welche für die Diagnistik der PRRT eingesetzt?,german,specific,therapy,claude-3-opus-20240229 naive RAG,"Für die Therapie in der Peptidrezeptor-Radionuklidtherapie (PRRT) werden die Isotope Yttrium-90 und Lutetium-177 eingesetzt, wie aus den Dokumenten ""Zaknun et al. - 2013"" und ""Development of Diagnostic and Therapeutic Radiopharmaceuticals"" hervorgeht. Lutetium-177 wird aufgrund seiner Gammastrahlung auch für die Nachbehandlungsbildgebung und Dosimetrie verwendet, was es ebenfalls für diagnostische Zwecke geeignet macht.",,,
7E naive RAG,Which isotopes are used for therapy and diagnostics in PRRT?,english,specific,therapy,claude-3-opus-20240229 naive RAG,"The isotopes used for therapy in peptide receptor radionuclide therapy (PRRT) include iodine-131, yttrium-90, lutetium-177, and to a lesser extent, rhenium-188 (""Molecules 2020, 25, 4012""). For diagnostics, indium-111 is used, as indicated by the use of [111In]-DOTATOC for better contrast between the kidneys and the tumor compared to [111In]-DOTATATE (""Molecules 2020, 25, 4012"").",,,
8G naive RAG,Ist der Einsatz von PRRT für den Patienten schädlich?,german,specific,side effects,claude-3-opus-20240229 naive RAG,"Der Einsatz von PRRT kann sowohl milde als auch schwere Nebenwirkungen verursachen. Zu den milden Nebenwirkungen gehören Übelkeit, Bauchschmerzen und Asthenie. Schwerere Toxizitäten können dosislimitierend sein und Anpassungen des Behandlungsplans erfordern (""A Clinical Guide to Peptide Receptor Radionuclide Therapy"" 7). Langfristige Nebenwirkungen können Nierenversagen und leukämische oder myelodysplastische Syndrome umfassen (""Camus et al. - 2021 - Indications of Peptide Receptor Radionuclide Thera"" 11).",,,
8E naive RAG,Is PRRT harmful for the patient?,english,specific,side effects,claude-3-opus-20240229 naive RAG,"Yes, Peptide Receptor Radionuclide Therapy (PRRT) can be harmful for the patient as it may induce various toxicities. Mild adverse events such as nausea, abdominal pain, and asthenia are frequently observed. More severe toxicities, which can be dose-limiting, include significant hair loss, myelosuppression, hepatotoxicity, renal failure, and potentially life-threatening conditions like leukemic or myelodysplastic syndromes (""A Clinical Guide to Peptide Receptor Radionuclide Therapy"" 7; ""Indications of Peptide Receptor Radionuclide Therapy"" 11).",,,
9G naive RAG,Ist die PRRT die Zukunft für metastasierende Krebspatienten?,german,general,therapy,claude-3-opus-20240229 naive RAG,"Ja, die PRRT gilt als vielversprechende Behandlungsoption für Patienten mit metastasierendem Krebs, insbesondere bei neuroendokrinen Tumoren (NETs). Die Behandlung hat sich als wirksam erwiesen, um das progressionsfreie Überleben zu verlängern und die Lebensqualität zu verbessern, wie in der NETTER-1 Phase III-Studie gezeigt wurde (""Int. J. Mol. Sci. 2022, 23, 1447""). Allerdings sind weitere Studien erforderlich, um die optimale Positionierung der PRRT im Behandlungsalgorithmus zu bestimmen und die Behandlungsregime weiter zu individualisieren, wie aus den laufenden Studien COMPETE, COMPOSE und NETTER-2 hervorgeht (""Harris and Zhernosekov - 2022""). Trotz des Potenzials der PRRT müssen die langfristigen Sicherheitsaspekte, insbesondere die Risiken von Knochenmark- und Nierentoxizität, weiterhin sorgfältig überwacht werden.",,,
