QuestionId,Question,language,Type,Categorie,LLM,answer,correctness,relevance,specificity
1G,Was ist der Stellenwert von PRRT innerhalb GEP-NET?,german,general,therapy,mistral-large-2402,"PRRT (Peptide Receptor Radionuclide Therapy) ist eine Behandlungsmethode für neuroendokrine Tumoren (GEP-NET), die auf der Verwendung von radioaktiv markierten Peptiden basiert. Diese Peptide binden an spezifische Rezeptoren auf der Oberfläche von neuroendokrinen Tumorzellen und ermöglichen so eine gezielte Behandlung.

Der Stellenwert von PRRT bei der Behandlung von GEP-NET ist hoch. PRRT hat sich als eine effektive und sichere Behandlungsmethode für Patienten mit fortgeschrittenen oder metastasierten neuroendokrinen Tumoren erwiesen. Studien haben gezeigt, dass PRRT eine hohe Ansprechrate, eine gute Symptomkontrolle und eine Verbesserung der Lebensqualität bei Patienten mit GEP-NET bieten kann.

ITM Isotope Technologies Munich SE ist ein Unternehmen, das sich auf die Entwicklung, Herstellung und den Vertrieb von radioaktiven Isotopen und Radiopharmazeutika spezialisiert hat. Das Unternehmen hat mehrere Produkte in seinem Portfolio, die für die PRRT bei GEP-NET eingesetzt werden können, wie beispielsweise das radioaktive Isotop Lutetium-177.

Insgesamt ist PRRT eine wichtige Behandlungsmethode für Patienten mit GEP-NET, und ITM Isotope Technologies Munich SE leistet einen wichtigen Beitrag zur Entwicklung und Bereitstellung von Radiopharmazeutika für diese Therapie.",,,
1E,What is the role of PRRT in GEP-NET?,english,general,therapy,mistral-large-2402,"PRRT, or Peptide Receptor Radionuclide Therapy, is a type of targeted therapy used for the treatment of certain types of neuroendocrine tumors (NETs), including Gastroenteropancreatic Neuroendocrine Tumors (GEP-NETs).

In PRRT, a small amount of a radioactive substance is attached to a molecule that targets specific receptors on cancer cells. When this molecule is injected into the patient's body, it binds to the receptors on the surface of the cancer cells, allowing the radioactive substance to deliver a high dose of radiation directly to the tumor while minimizing exposure to healthy tissue.

In the case of GEP-NETs, the receptors targeted by PRRT are somatostatin receptors, which are overexpressed on the surface of many NET cells. The radioactive substance used in PRRT for GEP-NETs is often Lutetium-177 (177Lu), which is attached to a somatostatin analog such as dotatate or dotatoc.

Clinical studies have shown that PRRT with 177Lu-dotatate or 177Lu-dotatoc can be an effective treatment option for patients with advanced, well-differentiated GEP-NETs, leading to improved progression-free survival and symptom control.

As a pharma company, ITM Isotope Technologies Munich SE is involved in the development and production of radiopharmaceuticals, including those used in PRRT for the treatment of NETs.",,,
2G,Für welche Indikationen ist PRRT zugelassen?,german,specific,therapy,mistral-large-2402,"PRRT (Peptide Receptor Radionuclide Therapy) ist eine Form der Strahlentherapie, die hauptsächlich zur Behandlung von neuroendokrinen Tumoren eingesetzt wird. Die Therapie verwendet radioaktiv markierte Peptide, die spezifisch an Rezeptoren auf der Oberfläche der Tumorzellen binden und so die Strahlung direkt an den Tumor liefern können.

In den USA ist Lutathera (Lutetium Lu 177 dotatate) derzeit das einzige zugelassene PRRT-Medikament. Es ist zugelassen zur Behandlung von:

1. Erwachsenen mit somatostatinrezeptorpositivem gastroenteropankreatischen neuroendokrinen Tumor (GEP-NET), einschließlich foregut, midgut und hindgut neuroendokrinen Tumoren.

2. Erwachsenen mit progressiven, gut differenzierten, somatostatinrezeptorpositiven gastroenteropankreatischen neuroendokrinen Tumoren (GEP-NET).

In der EU ist Lutathera ebenfalls für die Behandlung von erwachsenen Patienten mit unresektablen oder metastasierten, progressiven, gut differenzierten (G1 und G2), somatostatinrezeptorpositiven gastroenteropankreatischen neuroendokrinen Tumoren (GEP-NET) zugelassen.

Bitte beachten Sie, dass die Zulassung und Verfügbarkeit von PRRT-Medikamenten je nach Land unterschiedlich sein kann. Daher ist es immer ratsam, sich an einen Arzt oder Facharzt für Nuklearmedizin zu wenden, um die aktuellsten und spezifischsten Informationen zu erhalten.

Was die ITM Isotope Technologies Munich SE betrifft, so ist sie auf die Entwicklung, Produktion und den Vertrieb von radioaktiven Isotopen und Radiopharmazeutika für die Diagnostik und Therapie von Krebs und anderen Krankheiten spezialisiert. Das Unternehmen ist jedoch nicht direkt mit der Zulassung von PRRT-Medikamenten verbunden, sondern liefert möglicherweise Komponenten oder Isotope, die in der PRRT verwendet werden.",,,
2E,For which indication is PRRT approved?,english,specific,therapy,mistral-large-2402,"PRRT, or Peptide Receptor Radionuclide Therapy, is a type of targeted radiation therapy used for treating certain types of cancers. The therapy involves the use of radioactive isotopes to target and destroy cancer cells.

In the context of ITM Isotope Technologies Munich SE, PRRT is approved for the treatment of neuroendocrine tumors (NETs). These are relatively rare tumors that can occur in various parts of the body, including the gastrointestinal tract, pancreas, and lungs. PRRT uses radiolabeled somatostatin analogs (SSAs) to target and deliver radiation directly to these tumors, which often express high levels of somatostatin receptors.

However, the specific approvals for PRRT may vary depending on the country and the particular product being used. Therefore, it's essential to consult with a healthcare professional or refer to the official product information for the most accurate and up-to-date information regarding approvals and indications.",,,
3G,Welche Rolle spielt PRRT im chirurgischen Setting bei GEP-NET?,german,specific,therapy,mistral-large-2402,"PRRT, oder Peptide Receptor Radionuclide Therapy, ist eine Form der gezielten Strahlentherapie, die in der Behandlung von neuroendokrinen Tumoren (NET) eingesetzt wird, einschließlich gastroenteropankreatischer neuroendokriner Tumoren (GEP-NET).

Im chirurgischen Setting kann PRRT eine wichtige Rolle spielen. Zum einen kann sie als neoadjuvante Therapie eingesetzt werden, um den Tumor vor der Operation zu verkleinern und so die chirurgische Entfernbarkeit zu erhöhen. Zum anderen kann PRRT nach der Operation als adjuvante Therapie verwendet werden, um eventuell verbliebene Tumorzellen zu zerstören und so das Risiko eines Rezidivs zu verringern.

Darüber hinaus kann PRRT bei Patienten mit inoperablen oder metastasierten GEP-NET eingesetzt werden, um das Tumorwachstum zu kontrollieren und die Symptome zu lindern.

Die ITM Isotope Technologies Munich SE ist ein Unternehmen, das sich auf die Entwicklung, Produktion und den Vertrieb von Radionukliden und Radiopharmazeutika spezialisiert hat, die in der Diagnostik und Therapie von Krebserkrankungen, einschließlich NET, eingesetzt werden. Das Unternehmen hat sich unter anderem auf die Entwicklung von PRRT-Therapien spezialisiert.",,,
3E,What is the place of using PRRT in the surgical setting in GEP-NET?,english,specific,therapy,mistral-large-2402,"PRRT, or Peptide Receptor Radionuclide Therapy, is a type of targeted therapy that uses radiolabeled somatostatin analogs to treat neuroendocrine tumors, including gastroenteropancreatic neuroendocrine tumors (GEP-NETs).

In the surgical setting, PRRT is typically used as a neoadjuvant or adjuvant therapy, rather than during the surgery itself.

1. Neoadjuvant Therapy: PRRT may be used before surgery to shrink the tumor and make it easier to remove. This can potentially increase the success of the surgery and reduce the risk of complications.

2. Adjuvant Therapy: After surgery, PRRT may be used to destroy any remaining cancer cells and reduce the risk of recurrence. This is typically done when there's a high risk of the cancer coming back, or if there are signs that not all of the cancer was removed during surgery.

However, the decision to use PRRT in the surgical setting depends on many factors, including the stage and grade of the tumor, the patient's overall health, and the potential risks and benefits of the treatment. It's also important to note that while PRRT can be very effective, it's not suitable for everyone and can have significant side effects. Therefore, it should be used as part of a comprehensive treatment plan developed by a multidisciplinary team of healthcare professionals.

ITM Isotope Technologies Munich SE, being a leading radiopharmaceutical biotech company, is involved in the development, production, and global supply of targeted diagnostic and therapeutic radiopharmaceuticals for use in cancer treatment, including PRRT.",,,
4G,Was ist Peptidrezeptor-Radionuklid-Therapie (PRRT)?,german,general,definition,mistral-large-2402,"Die Peptidrezeptor-Radionuklid-Therapie (PRRT) ist eine Form der gezielten Krebstherapie, die insbesondere bei neuroendokrinen Tumoren eingesetzt wird. Bei dieser Behandlungsmethode werden radioaktiv markierte Peptide verwendet, die sich spezifisch an Rezeptoren auf der Oberfläche von Tumorzellen binden.

Die Peptide dienen dabei als Transportmittel für die Radioisotope, welche die therapeutische Wirkung entfalten. Nach der Bindung an die Tumorzellen wird das Radioisotop in die Zelle aufgenommen und gibt dort seine Strahlung ab. Diese Strahlung beschädigt die DNA der Tumorzellen und führt letztendlich zu ihrem Absterben.

Da die verwendeten Peptide gezielt an Tumorzellen binden, ist die PRRT eine relativ schonende Therapieform, bei der umliegendes gesundes Gewebe geschont wird. Die PRRT wird oft in mehreren Zyklen durchgeführt, um die bestmögliche Wirkung zu erzielen.

ITM Isotope Technologies Munich SE ist ein Unternehmen, das auf die Entwicklung, Produktion und den Vertrieb von Radioisotopen und Radiopharmazeutika spezialisiert ist. Dazu gehören auch die für die PRRT verwendeten radioaktiv markierten Peptide.",,,
4E,What is Peptide Receptor Radionuclide Therapy (PRRT)?,english,general,definition,mistral-large-2402,"Peptide Receptor Radionuclide Therapy (PRRT) is a type of targeted radiation therapy that uses peptides (small proteins) to deliver radioactive particles directly to cancer cells. This therapy is commonly used for treating advanced neuroendocrine tumors (NETs) that express specific receptors, such as somatostatin receptors.

PRRT involves the use of a radiolabeled peptide that binds to these receptors, allowing the radioactive material to be taken up by the cancer cells. The radiation emitted by the radioactive material then kills the cancer cells or inhibits their growth, while minimizing damage to surrounding healthy tissues.

One of the radiopharmaceuticals used in PRRT is Lutathera (lutetium Lu 177 dotatate), which is developed by ITM Isotope Technologies Munich SE. Lutathera is approved by the US Food and Drug Administration (FDA) and the European Medicines Agency (EMA) for the treatment of gastroenteropancreatic neuroendocrine tumors (GEP-NETs).

PRRT is generally well-tolerated and has been shown to improve progression-free survival and quality of life in patients with advanced NETs. However, it may cause side effects such as nausea, vomiting, fatigue, and a temporary decrease in blood cell counts.",,,
5G,Wie viele PRRT-Behandlungen kann man bekommen?,german,specific,therapy,mistral-large-2402,"PRRT (Peptide Rezeptor Radionuklid Therapie) ist eine spezielle Form der Strahlentherapie, die insbesondere bei bestimmten Formen von neuroendokrinen Tumoren eingesetzt wird. Die Anzahl der PRRT-Behandlungen, die ein Patient erhalten kann, hängt von verschiedenen Faktoren ab, wie zum Beispiel dem Allgemeinzustand des Patienten, der Art und dem Stadium der Erkrankung, der verwendeten Radionuklidmenge und der Reaktion des Patienten auf die Behandlung.

In der Regel werden PRRT-Behandlungen in Zyklen von mehreren Wochen bis Monaten durchgeführt, wobei jeder Zyklus aus einer oder mehreren Einzelbehandlungen besteht. Die Anzahl der Zyklen und Einzelbehandlungen kann von Patient zu Patient unterschiedlich sein und wird in der Regel individuell angepasst.

Es ist wichtig zu beachten, dass PRRT-Behandlungen mit gewissen Risiken und Nebenwirkungen verbunden sein können, wie zum Beispiel einer vorübergehenden Abnahme der Blutbildwerte oder einer Schädigung der Nierenfunktion. Daher sollten PRRT-Behandlungen nur von erfahrenen Ärzten in spezialisierten Zentren durchgeführt werden und sorgfältig überwacht werden.

Insgesamt ist es schwierig, eine pauschale Aussage darüber zu treffen, wie viele PRRT-Behandlungen ein Patient erhalten kann. Dies hängt von verschiedenen Faktoren ab und muss individuell entschieden werden. Patienten sollten sich daher an ihren behandelnden Arzt wenden, um weitere Informationen zu erhalten.",,,
5E,How many PRRT treatments can you have,english,specific,therapy,mistral-large-2402,"PRRT, or Peptide Receptor Radionuclide Therapy, is a type of targeted radiation therapy used to treat certain types of neuroendocrine tumors. The number of PRRT treatments a patient can have depends on various factors, including the specific type of PRRT being used, the patient's overall health, how well the patient's body tolerates the treatment, and the response to the therapy.

Typically, patients receive multiple treatment cycles, often ranging from 2 to 6 cycles, with each cycle given several weeks apart. However, the exact number of treatments can vary, and it's important to consult with a healthcare professional or oncologist specializing in PRRT to determine the most appropriate treatment plan for an individual patient.

ITM Isotope Technologies Munich SE, the company you mentioned, is involved in the production and supply of radiopharmaceuticals used in PRRT and other targeted therapies. However, the specific number of treatments would still depend on the individual patient's condition, medical history, and treatment response.",,,
