QuestionId,Question,language,Type,Categorie,LLM,answer,correctness,relevance,specificity
1G,Was ist der Stellenwert von PRRT innerhalb GEP-NET?,german,general,therapy,gpt-3.5-turbo-0125,"PRRT (Peptid-Rezeptor-Radionuklid-Therapie) hat einen hohen Stellenwert innerhalb der Behandlung von GEP-NET (gastroenteropankreatischen Neuroendokrinen Tumoren). Diese Therapieform nutzt radioaktive Substanzen, die an spezifische Rezeptoren auf den Tumorzellen binden und so gezielt die Krebszellen zerstören.

PRRT hat sich als effektive Behandlungsoption für Patienten mit fortgeschrittenen oder metastasierten GEP-NET erwiesen, insbesondere bei Tumoren, die nicht auf andere Therapien ansprechen. Studien haben gezeigt, dass PRRT die Progression der Krankheit verlangsamen, die Symptome lindern und die Lebensqualität der Patienten verbessern kann.

Aufgrund dieser positiven Ergebnisse wird PRRT zunehmend als Standardtherapie für bestimmte Formen von GEP-NET angesehen und spielt eine wichtige Rolle im Behandlungsplan für Patienten mit dieser Erkrankung.",,,
1E,What is the role of PRRT in GEP-NET?,english,general,therapy,gpt-3.5-turbo-0125,"PRRT (Peptide Receptor Radionuclide Therapy) is a targeted therapy used in the treatment of GEP-NETs (Gastroenteropancreatic Neuroendocrine Tumors). It involves the use of a radioactive substance attached to a peptide that binds to specific receptors on the surface of tumor cells. 

The role of PRRT in GEP-NET is to deliver radiation directly to the tumor cells, sparing surrounding healthy tissue. This can help to shrink or slow the growth of tumors, relieve symptoms, and improve quality of life for patients with GEP-NET. PRRT is often used in patients with advanced or metastatic GEP-NET that has not responded to other treatments, such as surgery, chemotherapy, or targeted therapies. 

Overall, PRRT has been shown to be an effective and well-tolerated treatment option for patients with GEP-NET, particularly those with tumors that express high levels of somatostatin receptors. It can help to control tumor growth, prolong survival, and improve symptoms in patients with this rare and often challenging type of cancer.",,,
2G,Für welche Indikationen ist PRRT zugelassen?,german,specific,therapy,gpt-3.5-turbo-0125,"PRRT (Peptid-Rezeptor-Radionuklid-Therapie) ist derzeit für die Behandlung von neuroendokrinen Tumoren (NET) zugelassen. Dies umfasst insbesondere gastroenteropankreatische NET (GEP-NET) und bronchopulmonale NET. Die Therapie kann auch bei anderen Tumorarten in Betracht gezogen werden, wenn diese bestimmte Rezeptoren exprimieren, die für die PRRT geeignet sind.",,,
2E,For which indication is PRRT approved?,english,specific,therapy,gpt-3.5-turbo-0125,PRRT (Peptide Receptor Radionuclide Therapy) is approved for the treatment of certain types of neuroendocrine tumors (NETs) that express somatostatin receptors.,,,
3G,Welche Rolle spielt PRRT im chirurgischen Setting bei GEP-NET?,german,specific,therapy,gpt-3.5-turbo-0125,"PRRT (Peptid-Rezeptor-Radionuklid-Therapie) spielt im chirurgischen Setting bei GEP-NET (gastroenteropankreatischen Neuroendokrinen Tumoren) eine wichtige Rolle als ergänzende Therapiemöglichkeit. 

Nach einer Operation zur Entfernung des Tumors kann PRRT eingesetzt werden, um eventuell verbliebene Tumorzellen zu zerstören und das Risiko eines Rückfalls zu verringern. PRRT nutzt radioaktive Substanzen, die an spezifische Rezeptoren auf den Tumorzellen binden und diese gezielt zerstören. 

Die Kombination von chirurgischer Entfernung des Tumors und PRRT kann die Behandlungsergebnisse verbessern und die Überlebensrate der Patienten erhöhen. Daher wird PRRT oft als Teil eines multimodalen Behandlungsansatzes bei GEP-NET eingesetzt.",,,
3E,What is the place of using PRRT in the surgical setting in GEP-NET?,english,specific,therapy,gpt-3.5-turbo-0125,"Peptide receptor radionuclide therapy (PRRT) is a treatment option for patients with gastroenteropancreatic neuroendocrine tumors (GEP-NET) that have spread to other parts of the body and cannot be removed by surgery. In the surgical setting, PRRT may be used as a neoadjuvant therapy to shrink the tumor before surgery, as an adjuvant therapy to reduce the risk of recurrence after surgery, or as a palliative treatment to relieve symptoms and improve quality of life in patients with advanced disease.

PRRT works by targeting the tumor cells with a radioactive substance attached to a peptide that binds to specific receptors on the surface of the tumor cells. This allows for targeted delivery of radiation to the tumor cells while minimizing damage to surrounding healthy tissues. PRRT has been shown to be effective in controlling tumor growth, reducing symptoms, and improving quality of life in patients with GEP-NET.

In the surgical setting, PRRT may be used in combination with surgery to improve outcomes for patients with GEP-NET. However, the specific role of PRRT in the surgical setting will depend on the individual patient's tumor characteristics, overall health, and treatment goals. It is important for patients to discuss their treatment options with their healthcare team to determine the best approach for their specific situation.",,,
4G,Was ist Peptidrezeptor-Radionuklid-Therapie (PRRT)?,german,general,definition,gpt-3.5-turbo-0125,"Die Peptidrezeptor-Radionuklid-Therapie (PRRT) ist eine Form der nuklearmedizinischen Therapie, die zur Behandlung von bestimmten Krebserkrankungen eingesetzt wird. Bei der PRRT werden radioaktive Substanzen, die an spezifische Rezeptoren auf den Krebszellen binden, in den Körper des Patienten injiziert. Die radioaktiven Substanzen zerstören dann gezielt die Krebszellen, während gesundes Gewebe weitgehend verschont bleibt.

Die PRRT wird vor allem bei neuroendokrinen Tumoren eingesetzt, die bestimmte Rezeptoren auf ihrer Oberfläche tragen. Durch die gezielte Bindung der radioaktiven Substanzen an diese Rezeptoren können die Tumorzellen effektiv bekämpft werden.

Die PRRT ist eine vielversprechende Therapieoption für Patienten mit fortgeschrittenen neuroendokrinen Tumoren, die nicht mehr auf konventionelle Therapien ansprechen. Die Behandlung kann dazu beitragen, das Tumorwachstum zu verlangsamen, Symptome zu lindern und die Lebensqualität der Patienten zu verbessern.",,,
4E,What is Peptide Receptor Radionuclide Therapy (PRRT)?,english,general,definition,gpt-3.5-turbo-0125,"Peptide Receptor Radionuclide Therapy (PRRT) is a targeted cancer treatment that uses a radioactive substance attached to a peptide (a small protein) to deliver radiation directly to cancer cells. The peptide binds to specific receptors on the surface of cancer cells, allowing the radioactive substance to selectively kill the cancer cells while minimizing damage to surrounding healthy tissue. PRRT is commonly used to treat neuroendocrine tumors, which have high levels of specific receptors that can be targeted by the therapy.",,,
5G,Wie viele PRRT-Behandlungen kann man bekommen?,german,specific,therapy,gpt-3.5-turbo-0125,"Die Anzahl der PRRT-Behandlungen, die ein Patient erhalten kann, hängt von verschiedenen Faktoren ab, einschließlich des individuellen Gesundheitszustands, des Ansprechens auf die Behandlung und der Verträglichkeit der Therapie. In der Regel werden PRRT-Behandlungen in Intervallen von mehreren Monaten bis zu einem Jahr durchgeführt, bis entweder keine weiteren Verbesserungen oder keine Verträglichkeit mehr erreicht werden. Es gibt keine festgelegte Anzahl von Behandlungen, die ein Patient erhalten kann, da dies von Fall zu Fall unterschiedlich ist. Es ist wichtig, mit dem behandelnden Arzt zu sprechen, um die beste Behandlungsstrategie für den individuellen Fall zu entwickeln.",,,
5E,How many PRRT treatments can you have?,english,specific,therapy,gpt-3.5-turbo-0125,"The number of PRRT (Peptide Receptor Radionuclide Therapy) treatments a person can have depends on various factors such as the type and stage of cancer, overall health, response to previous treatments, and individual circumstances. In general, patients may receive multiple PRRT treatments over a period of time, typically ranging from 2 to 4 treatments. However, the exact number of treatments will be determined by the healthcare provider based on the specific needs of the patient.",,,
