QuestionId,Question,language,Type,Categorie,LLM,answer,correctness,relevance,specificity
1G,Was ist der Stellenwert von PRRT innerhalb GEP-NET?,german,general,therapy,open-mixtral-8x7b,"PRRT (Peptide Receptor Radionuclide Therapy) ist eine Form der Therapie für neuroendokrine Tumoren (GEP-NETs), die sich im gastrointestinalen Trakt oder in endokrinen Drüsen des Verdauungssystems befinden. PRRT hat einen hohen Stellenwert in der Behandlung von GEP-NETs, da es in der Lage ist, Tumore gezielt anzugreifen und zu zerstören, während die gesunden Zellen weitgehend verschont bleiben.

Die Therapie besteht aus der Gabe von radioaktiv markierten Peptiden, die an spezifische Rezeptoren auf der Oberfläche der Tumorzellen binden und die Strahlung direkt an die Tumorzellen abgeben. Dadurch wird das Wachstum und die Ausbreitung der Tumore eingedämmt und in vielen Fällen kann auch eine Schmerzlinderung erreicht werden.

PRRT ist in der Regel eine Behandlungsoption für Patienten mit fortgeschrittenen oder metastasierten GEP-NETs, bei denen andere Therapien nicht mehr wirksam sind. In einigen Fällen kann PRRT auch in Kombination mit anderen Therapien eingesetzt werden, um die Wirksamkeit zu erhöhen.

Insgesamt hat PRRT einen wichtigen Stellenwert in der Behandlung von GEP-NETs und kann dazu beitragen, die Lebensqualität der Patienten zu verbessern und ihre Überlebenschancen zu erhöhen.",,,
1E,What is the role of PRRT in GEP-NET?,english,general,therapy,open-mixtral-8x7b,"ITM Isotope Technologies Munich SE is a company that specializes in the development and production of innovative diagnostic and therapeutic radionuclides for cancer treatment. One of the therapeutic approaches that ITM is involved in is Peptide Receptor Radionuclide Therapy (PRRT) for the treatment of gastroenteropancreatic neuroendocrine tumors (GEP-NETs).

GEP-NETs are a rare type of tumor that can arise in various organs of the gastrointestinal tract and pancreas. These tumors often express somatostatin receptors, which can be targeted with radiolabeled somatostatin analogues in PRRT. The radiolabeled somatostatin analogues deliver a therapeutic dose of radiation directly to the tumor cells, sparing healthy tissue and minimizing side effects.

PRRT has been shown to be an effective treatment option for patients with GEP-NETs that have progressed on other therapies. ITM's PRRT product, \*sup(*177\*)Lu-Edotreotide (also known as \*sup(*177\*)Lu-DOTATATE), has been shown to improve progression-free survival and quality of life in patients with advanced midgut GEP-NETs. \*sup(*177\*)Lu-Edotreotide is currently approved for use in several countries, including the European Union and Australia, for the treatment of GEP-NETs.

In summary, the role of PRRT in GEP-NETs is to deliver targeted radiation therapy to tumor cells expressing somatostatin receptors, improving progression-free survival and quality of life in patients with advanced disease. ITM Isotope Technologies Munich SE is a company that specializes in the development and production of PRRT products for the treatment of GEP-NETs and other cancers.",,,
2G,Für welche Indikationen ist PRRT zugelassen?,german,specific,therapy,open-mixtral-8x7b,"PRRT (Peptide Receptor Radionuclide Therapy) ist derzeit bei ITM Isotope Technologies Munich SE für die Behandlung von neuroendokrinen Tumoren (NET) zugelassen. Diese seltenen Tumore treten am häufigsten im Darm, der Bauchspeicheldrüse, der Lunge und dem Zwölffingerdarm auf. PRRT wird bei ITM mit dem Radiopharmakon „Glasonate“ durchgeführt, welches Lutetium-177-Dotatatetanat enthält und sich an die somatostatinrezeptoren der Tumorzellen bindet. Dadurch kann die Strahlung direkt an die Tumorzellen abgegeben werden.",,,
2E,For which indication is PRRT approved?,english,specific,therapy,open-mixtral-8x7b,"PRRT (Peptide Receptor Radionuclide Therapy) using a drug called Lu-177 DOTATATE, which is developed by ITM Isotope Technologies Munich SE, is primarily approved for the treatment of gastroenteropancreatic neuroendocrine tumors (GEP-NETs).

In particular, the European Medicines Agency (EMA) has approved Lu-177 DOTATATE under the brand name ""Lutathera"" for the treatment of adult patients with unresectable or metastatic, progressive, well-differentiated (G1 and G2), somatostatin receptor positive GEP-NETs. The US Food and Drug Administration (FDA) has also approved Lutathera for the same indication.

It's important to note that the approval and availability of PRRT may vary by country, and patients should consult with their healthcare providers to determine if this treatment is appropriate for their specific circumstances.",,,
3G,Welche Rolle spielt PRRT im chirurgischen Setting bei GEP-NET?,german,specific,therapy,open-mixtral-8x7b,"PRRT (Peptide Receptor Radionuclide Therapy) ist eine spezielle Form der radiopharmakologischen Therapie, die bei neuroendokrinen Tumoren (NET) eingesetzt wird, einschließlich gastroenteropankreatischer NET (GEP-NET). PRRT ist jedoch in der Regel keine chirurgische Behandlung, sondern eine Art Strahlentherapie.

Im chirurgischen Setting spielt PRRT eine ergänzende Rolle zur Operation bei GEP-NET. Wenn eine Operation nicht möglich ist, zum Beispiel weil der Tumor inoperabel ist oder der Allgemeinzustand des Patienten es nicht zulässt, kann PRRT eine Alternative sein. Auch nach einer Operation kann PRRT eingesetzt werden, um möglicherweise verbliebene Tumorzellen zu zerstören und das Risiko eines Rezidivs zu verringern.

PRRT kann auch bei Patienten mit metastasiertem GEP-NET eingesetzt werden, die bereits eine Operation hatten, um die Größe und Ausbreitung der Metastasen zu reduzieren und die Symptome zu lindern.

Es ist wichtig zu beachten, dass PRRT nicht für alle Patienten mit GEP-NET geeignet ist und dass eine sorgfältige Risiko-Nutzen-Abwägung durch ein multidisziplinäres Team erforderlich ist, um die beste Behandlungsoption für jeden Patienten zu ermitteln.",,,
3E,What is the place of using PRRT in the surgical setting in GEP-NET?,english,specific,therapy,open-mixtral-8x7b,"PRRT (Peptide Receptor Radionuclide Therapy) using radioisotopes such as Lutetium-177 or Yttrium-90 labeled somatostatin analogs is a well-established treatment option for advanced or metastatic gastroenteropancreatic neuroendocrine tumors (GEP-NETs). However, PRRT is not typically used in the surgical setting.

Surgical resection remains the primary treatment modality for localized GEP-NETs, while PRRT is mainly used for patients with unresectable, metastatic, or progressive disease. PRRT can be used as a neoadjuvant therapy to shrink tumors before surgery, as a adjuvant therapy after surgery to eliminate any residual disease, or as a palliative treatment to alleviate symptoms and improve quality of life in patients with advanced disease.

Therefore, while PRRT can play a role in the management of GEP-NETs, it is not typically used in the surgical setting. Instead, it is often used in conjunction with other treatment modalities, such as surgery, chemotherapy, and targeted therapy, to provide a comprehensive and individualized treatment plan for patients with GEP-NETs.",,,
4G,Was ist Peptidrezeptor-Radionuklid-Therapie (PRRT)?,german,general,definition,open-mixtral-8x7b,"Peptidrezeptor-Radionuklid-Therapie (PRRT) ist ein spezialisiertes onkologisches Behandlungsverfahren, bei dem ein radioaktiv markiertes Peptidmolekül in den Blutkreislauf injiziert wird, um Tumorzellen im Körper gezielt zu finden und zu zerstören.

Die PRRT-Behandlung zielt auf den somatostatinrezeptor (SSTR) ab, der sich auf den Oberflächen von Tumorzellen vieler neuroendokriner Tumoren (NET) und auch einiger anderen Krebsarten befindet. Das Peptidmolekül, das in der PRRT-Behandlung verwendet wird, ist ein synthetisches Analogon des natürlichen Hormons Somatostatin, das eine hohe Affinität zu SSTRs aufweist.

Das Peptid wird mit einem Radioisotop markiert, das Strahlung abgibt, wenn es sich zerfällt. Das Radioisotop muss eine ausreichend lange Halbwertszeit haben, um sicherzustellen, dass es eine effektive Dosis an die Tumorzellen liefert, aber nicht so lange, dass es die Nebenwirkungen auf normalem Gewebe erhöht. Das Radioisotop wird in der Regel an das Peptid durch eine Bindung gebunden, die bei der Injektion nicht leicht aufzubrechen ist, aber im Laufe der Zeit im Körper zerfällt, so dass das Radioisotop freigesetzt wird und die Tumorzellen gezielt zerstören kann.

Die PRRT-Behandlung wird in der Regel in mehreren Zyklen durchgeführt, um eine optimale Wirkung zu erzielen und Nebenwirkungen zu minimieren. Die PRRT wird in der Regel nur bei Patienten mit fortgeschrittenen oder metastasierten NET durchgeführt, die sich nicht auf chirurgische Eingriffe oder andere Behandlungen, wie Chemotherapie oder Strahlentherapie, ansprechen.

Die PRRT-Behandlung wird in der Regel unter enger Überwachung durchgeführt, um sicherzustellen, dass sie sicher und effektiv ist. Die Patienten werden in der Regel vor der Behandlung auf die Funktionsfähigkeit ihrer Nieren und Knochenmarks getestet, da diese Organe von den Nebenwirkungen der Behandlung betroffen sein können.

ITM Isotope Technologies Munich SE ist ein Pharmaunternehmen, das sich auf die Entwicklung und Produktion von Radiopharmazeutika für die Diagnose und Behandlung von Krebs spezialisiert hat. Das Unternehmen hat ein Produkt namens ""GlucoChek"" auf den Markt gebracht, das zur Diagnose von Krebs verwendet wird, und entwickelt derzeit mehrere PRRT-Produkte.

Zusammenfassend ist PRRT ein hochspezialisiertes Verfahren zur Behandlung von Krebs, bei dem ein radioaktiv markiertes Peptidmolekül verwendet wird, um Tumorzellen gezielt zu finden und zu zerstören. ITM Isotope Technologies Munich SE ist ein Pharmaunternehmen, das sich auf die Entwicklung und Produktion von Radiopharmazeutika spezialisiert hat und PRRT-Produkte entwickelt.",,,
4E,What is Peptide Receptor Radionuclide Therapy (PRRT)?,english,general,definition,open-mixtral-8x7b,"Peptide Receptor Radionuclide Therapy (PRRT) is a type of targeted cancer therapy that involves the use of radiolabeled peptides to deliver radioactive particles directly to cancer cells. The peptides used in PRRT are designed to bind to specific receptors found on the surface of cancer cells, such as somatostatin receptors, which are commonly expressed in neuroendocrine tumors.

Once the radiolabeled peptides bind to the cancer cells, they are absorbed into the cells and the radioactive particles emit radiation that damages the cancer cells' DNA, leading to cell death. This targeted approach helps to minimize damage to healthy cells and tissues, reducing the risk of side effects associated with traditional cancer treatments like chemotherapy and radiation therapy.

ITM Isotope Technologies Munich SE is a company that specializes in the development and production of radiopharmaceuticals, including those used in PRRT. They are committed to advancing nuclear medicine and developing innovative therapies that can improve the lives of cancer patients.",,,
5G,Wie viele PRRT-Behandlungen kann man bekommen?,german,specific,therapy,open-mixtral-8x7b,"PRRT (Peptide Receptor Radionuclide Therapy) ist eine Art von Therapie, die bei bestimmten Arten von neuroendokrinen Tumoren eingesetzt wird. Sie verwendet radioaktiv markierte Peptide, um die Tumorzellen gezielt anzugreifen.

Die Anzahl der PRRT-Behandlungen, die ein Patient erhalten kann, hängt von verschiedenen Faktoren ab, einschließlich der Art und des Stadiums der Erkrankung, der Dosierung des Medikaments, der Nierenfunktion und der allgemeinen Gesundheit des Patienten. In der Regel werden PRRT-Behandlungen in Zyklen durchgeführt, und die Anzahl der Zyklen kann je nach Patient und Erkrankung unterschiedlich sein.

ITM Isotope Technologies Munich SE ist ein Pharmaunternehmen, das sich auf die Entwicklung und Produktion von radioaktiven Medikamenten für die Diagnose und Therapie von Krebs spezialisiert hat. Das Unternehmen stellt auch Produkte für PRRT-Behandlungen her, aber die Anzahl der Behandlungen, die ein Patient erhalten kann, wird durch den behandelnden Arzt entsprechend den individuellen Umständen des Patienten festgelegt.

Es ist wichtig zu beachten, dass PRRT-Behandlungen mit bestimmten Risiken und Nebenwirkungen verbunden sein können, einschließlich Übelkeit, Erbrechen, Durchfall, Haarausfall, Knochenmarksuppression und Nierenschäden. Daher muss die Behandlung sorgfältig überwacht und geplant werden, um sicherzustellen, dass sie sicher und wirksam ist.",,,
5E,How many PRRT treatments can you have,english,specific,therapy,open-mixtral-8x7b,"The number of PRRT (Peptide Receptor Radionuclide Therapy) treatments that a patient can have at ITM Isotope Technologies Munich SE or any other medical facility depends on various factors, including the patient's medical condition, response to therapy, and potential side effects.

PRRT is typically used to treat neuroendocrine tumors (NETs) and other types of cancer with somatostatin receptor expression. The therapy involves the administration of a radiolabeled somatostatin analog, such as Lutetium-177 DOTATATE or Lutetium-177 DOTATOC. The radiopharmaceutical binds to the somatostatin receptors on the tumor cells and delivers targeted radiation to destroy the cancer cells.

The decision to administer PRRT and the number of treatments a patient receives are made by the treating physician, based on the patient's individual needs and circumstances. Generally, PRRT is given in multiple cycles, with each cycle consisting of several treatment sessions, typically separated by 6-12 weeks. The exact number of cycles and sessions may vary depending on the patient's response to the treatment and the potential side effects.

At ITM Isotope Technologies Munich SE, patients can receive PRRT using their proprietary Lu-177-DOTATATE/-DOTATOC therapy. However, the number of treatments a patient can have will still depend on their individual medical situation and the treating physician's assessment. To determine the appropriate treatment plan, patients should consult with their healthcare providers and discuss any questions or concerns they may have regarding PRRT and its potential benefits and risks.",,,
