QuestionId,Question,language,Type,Categorie,LLM,answer,correctness,relevance,specificity
1G,Was ist der Stellenwert von PRRT innerhalb GEP-NET?,german,general,therapy,gpt-3.5-turbo-0125,"PRRT (Peptid-Rezeptor-Radionuklid-Therapie) hat einen hohen Stellenwert innerhalb der Behandlung von GEP-NET (gastroenteropankreatischen Neuroendokrinen Tumoren). Diese Therapieform nutzt radioaktive Substanzen, die an spezifische Rezeptoren auf den Tumorzellen binden und so gezielt die Krebszellen zerstören.

PRRT hat sich als effektive Behandlungsoption für Patienten mit fortgeschrittenen oder metastasierten GEP-NET erwiesen, insbesondere bei Tumoren, die den Somatostatin-Rezeptor exprimieren. Die Therapie kann dazu beitragen, das Tumorwachstum zu kontrollieren, Symptome zu lindern und die Lebensqualität der Patienten zu verbessern.

Insgesamt hat PRRT einen wichtigen Stellenwert innerhalb der Behandlung von GEP-NET und wird in vielen Fällen als Teil eines multimodalen Therapieansatzes eingesetzt. Es ist wichtig, dass die Therapie von erfahrenen Fachärzten durchgeführt wird, um die bestmöglichen Ergebnisse für die Patienten zu erzielen.",,,
1E,What is the role of PRRT in GEP-NET?,english,general,therapy,gpt-3.5-turbo-0125,"PRRT (Peptide Receptor Radionuclide Therapy) is a targeted therapy used in the treatment of GEP-NETs (Gastroenteropancreatic Neuroendocrine Tumors). It involves the use of a radioactive substance attached to a peptide that binds to specific receptors on the tumor cells. 

The role of PRRT in GEP-NET is to deliver radiation directly to the tumor cells, causing damage and ultimately leading to their destruction. This therapy is particularly effective in tumors that express high levels of somatostatin receptors, as the peptide used in PRRT binds specifically to these receptors. 

PRRT has been shown to be effective in controlling tumor growth, improving symptoms, and prolonging survival in patients with GEP-NETs. It is often used in patients who have not responded to other treatments or have advanced disease that is not amenable to surgery. 

Overall, PRRT plays a crucial role in the management of GEP-NETs and is an important treatment option for patients with this type of cancer.",,,
2G,Für welche Indikationen ist PRRT zugelassen?,german,specific,therapy,gpt-3.5-turbo-0125,"PRRT (Peptid-Rezeptor-Radionuklid-Therapie) ist derzeit in Europa für die Behandlung von neuroendokrinen Tumoren (NET) zugelassen. Diese Tumoren entstehen aus Zellen des endokrinen Systems, die Hormone produzieren und in verschiedenen Organen des Körpers vorkommen können, wie z.B. im Magen-Darm-Trakt, der Bauchspeicheldrüse oder den Lungen.

Die PRRT-Therapie wird in der Regel bei fortgeschrittenen oder metastasierten NET eingesetzt, die nicht mehr auf andere Therapien ansprechen. Durch die gezielte Bestrahlung der Tumorzellen mit radioaktiven Substanzen, die an spezifische Rezeptoren auf den Tumorzellen binden, kann die PRRT dazu beitragen, das Tumorwachstum zu hemmen und die Symptome der Erkrankung zu lindern.",,,
2E,For which indication is PRRT approved?,english,specific,therapy,gpt-3.5-turbo-0125,PRRT (Peptide Receptor Radionuclide Therapy) is approved for the treatment of neuroendocrine tumors (NETs) that express somatostatin receptors.,,,
3G,Welche Rolle spielt PRRT im chirurgischen Setting bei GEP-NET?,german,specific,therapy,gpt-3.5-turbo-0125,"PRRT (Peptid-Rezeptor-Radionuklid-Therapie) spielt im chirurgischen Setting bei GEP-NET (gastroenteropankreatischen Neuroendokrinen Tumoren) eine wichtige Rolle als ergänzende Therapiemöglichkeit. 

Nach einer Operation zur Entfernung des Tumors kann PRRT eingesetzt werden, um eventuell verbliebene Tumorzellen zu zerstören und das Rückfallrisiko zu verringern. PRRT nutzt radioaktive Substanzen, die an spezifische Rezeptoren auf den Tumorzellen binden und diese gezielt bestrahlen, ohne das umliegende gesunde Gewebe zu schädigen.

Die Kombination von chirurgischer Entfernung des Tumors und PRRT kann die Behandlungsergebnisse verbessern und die Überlebensrate bei Patienten mit GEP-NET erhöhen. Daher wird PRRT oft als Teil eines multimodalen Behandlungsansatzes bei GEP-NET eingesetzt.",,,
3E,What is the place of using PRRT in the surgical setting in GEP-NET?,english,specific,therapy,gpt-3.5-turbo-0125,"Peptide receptor radionuclide therapy (PRRT) is a treatment option for patients with gastroenteropancreatic neuroendocrine tumors (GEP-NETs) that have spread to other parts of the body and cannot be removed with surgery. PRRT involves the use of a radioactive substance that targets and binds to specific receptors on the tumor cells, delivering a high dose of radiation directly to the cancer cells.

In the surgical setting, PRRT can be used as a neoadjuvant therapy before surgery to shrink the tumor and make it easier to remove, or as an adjuvant therapy after surgery to target any remaining cancer cells. PRRT can also be used in patients with advanced or metastatic GEP-NETs who are not candidates for surgery, to help control the growth of the tumor and improve symptoms.

Overall, PRRT can be a valuable treatment option in the surgical setting for patients with GEP-NETs, either as a standalone therapy or in combination with surgery. It is important for patients to discuss their treatment options with their healthcare team to determine the best approach for their individual situation.",,,
4G,Was ist Peptidrezeptor-Radionuklid-Therapie (PRRT)?,german,general,definition,gpt-3.5-turbo-0125,"Die Peptidrezeptor-Radionuklid-Therapie (PRRT) ist eine Form der nuklearmedizinischen Therapie, die zur Behandlung von bestimmten Krebserkrankungen eingesetzt wird. Bei der PRRT werden radioaktive Substanzen, die an spezifische Rezeptoren auf den Krebszellen binden, in den Körper des Patienten injiziert. Diese radioaktiven Substanzen zerstören dann gezielt die Krebszellen, während gesundes Gewebe weitgehend verschont bleibt.

Die PRRT wird vor allem bei neuroendokrinen Tumoren eingesetzt, die bestimmte Rezeptoren auf ihrer Oberfläche tragen. Durch die gezielte Bindung der radioaktiven Substanzen an diese Rezeptoren können die Krebszellen effektiv bekämpft werden. Die PRRT kann dazu beitragen, das Tumorwachstum zu verlangsamen, Symptome zu lindern und die Lebensqualität von Patienten mit fortgeschrittenen neuroendokrinen Tumoren zu verbessern.",,,
4E,What is Peptide Receptor Radionuclide Therapy (PRRT)?,english,general,definition,gpt-3.5-turbo-0125,"Peptide Receptor Radionuclide Therapy (PRRT) is a targeted cancer treatment that uses a radioactive substance attached to a peptide (a small protein) to deliver radiation directly to cancer cells. The peptide binds to specific receptors on the surface of cancer cells, allowing the radioactive substance to deliver radiation directly to the cancer cells while sparing healthy tissues. PRRT is commonly used to treat neuroendocrine tumors, which have high levels of specific receptors that can be targeted by the peptide. This therapy can help to shrink tumors, relieve symptoms, and improve quality of life for patients with certain types of cancer.",,,
5G,Wie viele PRRT-Behandlungen kann man bekommen?,german,specific,therapy,gpt-3.5-turbo-0125,"Die Anzahl der PRRT-Behandlungen, die ein Patient erhalten kann, hängt von verschiedenen Faktoren ab, einschließlich des individuellen Gesundheitszustands, des Ansprechens auf die Behandlung und der Verträglichkeit der Therapie. In der Regel werden PRRT-Behandlungen in Intervallen von mehreren Monaten bis zu einem Jahr durchgeführt, bis entweder keine weiteren Verbesserungen oder keine Verträglichkeit mehr erreicht werden. Es gibt keine festgelegte Anzahl von Behandlungen, die ein Patient erhalten kann, da dies von Fall zu Fall unterschiedlich ist. Es ist wichtig, mit dem behandelnden Arzt zu sprechen, um eine individuelle Behandlungsplanung zu erstellen.",,,
5E,How many PRRT treatments can you have,english,specific,therapy,gpt-3.5-turbo-0125,"The number of PRRT (Peptide Receptor Radionuclide Therapy) treatments a person can have depends on various factors such as the type and stage of cancer, overall health condition, and response to previous treatments. Typically, patients may receive multiple PRRT treatments over a period of time, with the exact number determined by their healthcare provider. It is not uncommon for patients to undergo several cycles of PRRT treatment, usually spaced out over several months.",,,
6G,Wie viel kostet eine Behandlung mit PRRT?,german,specific,cost,gpt-3.5-turbo-0125,"Die Kosten für eine Behandlung mit PRRT können je nach Land, Klinik und individuellem Fall variieren. In Deutschland liegen die Kosten für eine PRRT-Behandlung in der Regel zwischen 10.000 und 20.000 Euro pro Behandlungszyklus. Es können mehrere Behandlungszyklen erforderlich sein, um den gewünschten Effekt zu erzielen. Es ist wichtig, sich vor Beginn der Behandlung über die genauen Kosten und mögliche Finanzierungsmöglichkeiten zu informieren.",,,
6E,How much does a PRRT treatment cost?,english,specific,cost,gpt-3.5-turbo-0125,"The cost of PRRT treatment can vary depending on factors such as the location of the treatment center, the specific type of PRRT being used, and the individual patient's insurance coverage. In general, the cost of a single PRRT treatment session can range from $10,000 to $20,000 or more. Patients may require multiple treatment sessions over the course of several months, which can significantly increase the overall cost of PRRT treatment. It is important for patients to discuss the cost of treatment with their healthcare provider and insurance company to understand their financial responsibilities and explore potential financial assistance options.",,,
7G,Welche Isotope werden für die Therapie und welche für die Diagnistik der PRRT eingesetzt?,german,specific,therapy,gpt-3.5-turbo-0125,"Für die Therapie der Peptid-Rezeptor-Radionuklid-Therapie (PRRT) werden meist die Isotope Lutetium-177 oder Yttrium-90 eingesetzt. Diese radioaktiven Isotope werden an Peptide gebunden, die spezifisch an Tumorzellen binden und so gezielt die Strahlung an den Tumor abgeben.

Für die Diagnostik der PRRT wird häufig das Isotop Gallium-68 verwendet. Dieses wird ebenfalls an Peptide gebunden, die an die Rezeptoren auf den Tumorzellen binden. Durch die Positronenemissionstomographie (PET) kann so die Verteilung der radioaktiven Substanz im Körper und damit die Lage und Größe des Tumors genau bestimmt werden.",,,
7E,Which isotopes are used for therapy and diagnostics in PRRT?,english,specific,therapy,gpt-3.5-turbo-0125,"The isotopes used for therapy and diagnostics in Peptide Receptor Radionuclide Therapy (PRRT) are:

1. Lutetium-177 (Lu-177): This isotope is used for therapy in PRRT as it emits beta radiation that can target and destroy cancer cells. It is commonly used in combination with somatostatin analogs to treat neuroendocrine tumors.

2. Indium-111 (In-111): This isotope is used for diagnostics in PRRT as it emits gamma radiation that can be detected using imaging techniques such as SPECT (Single Photon Emission Computed Tomography). It is commonly used to visualize the expression of somatostatin receptors in tumors before initiating PRRT treatment.",,,
8G,Ist der Einsatz von PRRT für den Patienten schädlich?,german,specific,side effects,gpt-3.5-turbo-0125,"Der Einsatz von PRRT (Peptid-Rezeptor-Radionuklid-Therapie) kann für den Patienten schädlich sein, da es sich um eine Form der Strahlentherapie handelt. Die Strahlung kann gesundes Gewebe schädigen und Nebenwirkungen wie Übelkeit, Erbrechen, Müdigkeit und Blutbildveränderungen verursachen. Es ist wichtig, dass der behandelnde Arzt die Risiken und Vorteile der PRRT-Therapie mit dem Patienten ausführlich bespricht und individuell abwägt, ob die Behandlung für den jeweiligen Patienten geeignet ist.",,,
8E,Is PRRT harmful for the patient?,english,specific,side effects,gpt-3.5-turbo-0125,"PRRT (Peptide Receptor Radionuclide Therapy) is generally considered to be a safe and effective treatment for certain types of neuroendocrine tumors. However, like any medical procedure, there are potential risks and side effects associated with PRRT. These can include nausea, vomiting, fatigue, and temporary changes in blood cell counts. In rare cases, more serious side effects such as kidney damage or bone marrow suppression may occur.

It is important for patients to discuss the potential risks and benefits of PRRT with their healthcare provider before undergoing treatment. Overall, the decision to undergo PRRT should be based on a thorough evaluation of the individual patient's medical history and condition.",,,
