QuestionId,Question,language,Type,Categorie,LLM,answer,correctness,relevance,specificity
1G,Was ist der Stellenwert von PRRT innerhalb GEP-NET?,german,general,therapy,gemini-1.0-pro-001,"'PRRT (Peptid-Rezeptor-Radionuklid-Therapie) hat einen hohen Stellenwert innerhalb der', ' Behandlung von GEP-NET (Gastroenteropankreatische neuroendokrine Tumoren).\n\n**Vorteile von PRRT', ' bei GEP-NET:**\n\n* **Gezielte Therapie:** PRRT zielt spezifisch auf Somatostatinrezeptoren ab, die auf der Oberfläche von GEP-NET-Zellen exprimiert werden.\n* **Hohe Wirksamkeit:** PRRT hat', ' sich als wirksam bei der Kontrolle des Tumorwachstums und der Linderung von Symptomen erwiesen.\n* **Geringe Toxizität:** PRRT hat im Vergleich zu anderen Krebstherapien ein relativ geringes Nebenwirkungsprofil.\n* **', 'Langfristige Kontrolle:** PRRT kann eine langfristige Kontrolle der Krankheit ermöglichen, was zu einer verbesserten Lebensqualität und Überlebenszeit führt.\n\n**Stellenwert von PRRT innerhalb GEP-NET:**\n\n* PRRT ist eine Standardbehandlungsoption für Patienten mit fortgeschrittenen GEP-NET', ', die auf andere Therapien nicht ansprechen.\n* PRRT wird oft in Kombination mit anderen Therapien wie Chemotherapie, zielgerichteter Therapie oder Operation eingesetzt.\n* PRRT kann auch als palliative Behandlung zur Linderung von Symptomen bei Patienten mit fortgeschrittener Erkrankung eingesetzt werden.\n\nInsgesamt ist PRRT eine wichtige und wirksame Behandlung', 'soption für Patienten mit GEP-NET. Es bietet eine gezielte Therapie mit geringer Toxizität und kann zu einer verbesserten Lebensqualität und Überlebenszeit führen.'",,,
1E,What is the role of PRRT in GEP-NET?,english,general,therapy,gemini-1.0-pro-001,"'Peptide receptor radionuclide therapy (PRRT) is a type of targeted cancer therapy that uses radioactive isotopes to deliver radiation directly to cancer cells.', ' PRRT is used to treat gastroenteropancreatic neuroendocrine tumors (GEP-NETs), which are a type of cancer that starts in the', ' cells of the digestive system.\n\nPRRT works by attaching a radioactive isotope to a peptide that binds to a specific receptor on the surface of cancer cells. When the radioactive isotope is attached to the peptide, it is able to deliver radiation directly to the cancer', ' cells, killing them or preventing them from growing.\n\nPRRT is a relatively new treatment for GEP-NETs, but it has shown promising results in clinical trials. PRRT is typically used in combination with other treatments, such as surgery, chemotherapy, and radiation therapy.', '\n\nThe role of PRRT in GEP-NETs is to:\n\n* Shrink tumors\n* Relieve symptoms\n* Improve quality of life\n* Extend survival\n\nPRRT is a well-tolerated treatment with few side effects. The most common side effects are nausea, vomiting, and fatigue. PRRT is typically given in multiple', ' doses over several weeks or months.\n\nPRRT is a promising new treatment for GEP-NETs. It is a targeted therapy that can deliver radiation directly to cancer cells, killing them or preventing them from growing. PRRT is well-tolerated and has few side effects.'",,,
2G,Für welche Indikationen ist PRRT zugelassen?,german,specific,therapy,gemini-1.0-pro-001,"'PRRT (Peptid-Rezeptor-Radionuklid-Therapie) ist für die Behandlung folgender Indikationen zugelassen:\n\n', '* **Neuroendokrine Tumoren (NET)**\n    * Gut differenzierte NET des Gastrointestinaltrakts (z. B', '. Magen, Darm)\n    * Gut differenzierte NET der Lunge\n    * Gut differenzierte NET der Bauchspeicheldrüse\n* **Prostatakrebs**\n    * Metastasierter', ', kastrationsresistenter Prostatakrebs\n* **Phäochromozytom und Paragangliom**\n    * Metastasierte oder lokal fortgeschrittene Phäochromozytome und Paragangliome'",,,
2E,For which indication is PRRT approved?,english,specific,therapy,gemini-1.0-pro-001,'Neuroendocrine tumors',,,
3G,Welche Rolle spielt PRRT im chirurgischen Setting bei GEP-NET?,german,specific,therapy,gemini-1.0-pro-001,"'PRRT (Peptid-Rezeptor-Radionuklid-Therapie) spielt im chirurgischen Setting bei gastroenteropank', 'reatischen neuroendokrinen Tumoren (GEP-NET) eine wichtige Rolle:\n\n**Präoperativ:**\n\n* **', 'Tumorgrößenreduktion:** PRRT kann vor der Operation eingesetzt werden, um die Tumorgröße zu reduzieren und die Resektabilität zu verbessern.\n* **Verbesserung der Operationsergebnisse:** PRRT kann die Operationsergebnisse verbessern, indem es die Blutversorgung des Tumors', ' verringert und das Risiko von Blutungen und Komplikationen während der Operation reduziert.\n\n**Intraoperativ:**\n\n* **Intraoperative Bildgebung:** PRRT kann während der Operation verwendet werden, um die Tumorgrenzen zu visualisieren und die Resektion zu', ' leiten.\n* **Radioaktive Markierung:** PRRT kann verwendet werden, um Tumorgewebe zu markieren, das während der Operation möglicherweise übersehen wird.\n\n**Postoperativ:**\n\n* **Adjuvante Therapie:** PRRT kann nach der Operation als adjuvante Therapie eingesetzt werden, um das Risiko eines Rezidivs zu verringern.\n* **Palliative Therapie', ':** PRRT kann bei Patienten mit fortgeschrittenen oder metastasierten GEP-NETs als palliative Therapie eingesetzt werden, um Symptome zu lindern und die Lebensqualität zu verbessern.\n\n**Vorteile von PRRT im chirurgischen Setting:**\n\n* Verbesserung der Resektabilität\n* Verringerung des Risikos von Blutungen und Komplikationen während der Operation\n* Verbesserung der Operations', 'ergebnisse\n* Verringerung des Risikos eines Rezidivs\n* Linderung von Symptomen bei fortgeschrittenen oder metastasierten GEP-NETs\n\nPRRT wird in der Regel in Kombination mit anderen Behandlungsmodalitäten wie Operation, Chemotherapie und zielgerichteter Therapie eingesetzt, um die besten Ergebnisse für Patienten mit GEP-NETs zu erzielen.'",,,
3E,What is the place of using PRRT in the surgical setting in GEP-NET?,english,specific,therapy,gemini-1.0-pro-001,"'PRRT (peptide receptor radionuclide therapy) is a type of targeted radiation therapy that uses radioactive isotopes to deliver radiation directly to tumors. It is used', ' to treat neuroendocrine tumors (NETs), including GEP-NETs (gastroenteropancreatic neuroendocrine tumors', ').\n\nIn the surgical setting, PRRT can be used:\n\n* **Preoperatively:** To shrink tumors and make them easier to remove surgically. This can improve the chances of a complete resection and reduce the risk of recurrence.\n* **Intraoperatively:** To', ' deliver radiation directly to the tumor during surgery. This can help to kill any remaining tumor cells and reduce the risk of recurrence.\n* **Postoperatively:** To treat any remaining tumor cells or metastases that may have been missed during surgery. This can help to improve the chances of long-term survival.\n\n', 'PRRT is a relatively new treatment for GEP-NETs, but it has shown promising results in clinical trials. It is generally well-tolerated, with the most common side effects being nausea, vomiting, and fatigue.\n\nThe use of PRRT in the surgical setting for GEP-NETs is still being investigated, but it is an important treatment option that can improve the chances of a', ' successful outcome.'",,,
4G,Was ist Peptidrezeptor-Radionuklid-Therapie (PRRT)?,german,general,definition,gemini-1.0-pro-001,"'**Peptidrezeptor-Radionuklid-Therapie (PRRT)**\n\nDie Peptidrezeptor-Radionuklid-Therapie (PRRT)', ' ist eine zielgerichtete Krebsbehandlung, die Radionuklide verwendet, um Krebszellen abzutöten.\n\n**Prinzip:**\n\n* Krebszellen exprimieren', ' häufig bestimmte Rezeptoren, die als Somatostatinrezeptoren (SSTR) bezeichnet werden.\n* PRRT verwendet Peptide, die an SSTR binden.\n* Diese Peptide sind mit Radionukliden markiert, die Krebszellen', ' abtöten, wenn sie an die Rezeptoren binden.\n\n**Ablauf:**\n\n* Dem Patienten wird ein Peptid verabreicht, das an SSTR bindet.\n* Das Peptid zirkuliert im', ' Körper und reichert sich in Krebszellen an, die SSTR exprimieren.\n* Nach einer bestimmten Zeit wird dem Patienten ein Radionuklid verabreicht.\n* Das Radionuklid bindet an das Peptid und emittiert Strahlung, die Krebszellen abtötet.\n\n**Vorteile:**\n\n* Zielgerichtete Therapie, die gesunde Zellen schont.\n* Kann', ' bei verschiedenen Krebsarten eingesetzt werden, darunter Neuroendokrine Tumoren, Prostatakrebs und Brustkrebs.\n* Kann das Tumorwachstum verlangsamen, Symptome lindern und die Lebensqualität verbessern.\n\n**Nachteile:**\n\n* Kann Nebenwirkungen wie Übelkeit, Erbrechen, Müdigkeit und Nierenschäden verursachen.\n* Kann teuer sein.\n* Nicht für alle Krebs', 'arten geeignet.\n\n**Häufig verwendete Radionuklide:**\n\n* Lutetium-177 (¹⁷⁷Lu)\n* Yttrium-90 (⁹⁰Y)\n\n**Anwendungen:**\n\n* Neuroendokrine Tumoren\n* Prostatakrebs\n* Brustkrebs\n* Andere Krebsarten, die SSTR exprimieren'",,,
4E,What is Peptide Receptor Radionuclide Therapy (PRRT)?,english,general,definition,gemini-1.0-pro-001,"'**Peptide Receptor Radionuclide Therapy (PRRT)**\n\nPRRT is a type of targeted cancer therapy that uses radioactive isotopes', ' attached to peptides to deliver radiation directly to cancer cells.\n\n**How it Works:**\n\n* **Peptides:**', ' Peptides are short chains of amino acids that can bind to specific receptors on cancer cells.\n* **Radioisotopes:** Radioactive isotopes, such as lutetium-177 (Lu-177) or yttrium-90 (Y-90), are attached to the peptides.\n*', ' **Targeting:** The peptide-isotope complex binds to receptors on cancer cells, delivering radiation directly to the tumor.\n* **Radiation:** The radiation damages the DNA of cancer cells, leading to cell death.\n\n**Advantages of PRRT:**\n\n* **Targeted therapy:**', ' Delivers radiation specifically to cancer cells, minimizing damage to healthy tissues.\n* **Effective against advanced cancers:** Can be used to treat cancers that have spread or are difficult to remove surgically.\n* **Relatively well-tolerated:** Side effects are generally mild and manageable.\n\n**Applications:**\n\nPRRT is primarily used to treat neuroendocrine tumors (NETs),', ' which are cancers that develop from hormone-producing cells. It can also be used to treat other types of cancer, such as:\n\n* Prostate cancer\n* Breast cancer\n* Ovarian cancer\n* Pancreatic cancer\n\n**Procedure:**\n\n* The patient receives an injection of the peptide-isotope complex.\n* The complex circulates in the bloodstream and binds to cancer cells.\n* The radiation is delivered over several', ' days or weeks.\n* Multiple treatments may be necessary.\n\n**Side Effects:**\n\nCommon side effects of PRRT include:\n\n* Fatigue\n* Nausea\n* Vomiting\n* Low blood counts\n* Kidney toxicity\n* Radiation exposure to others (temporary)\n\n**Monitoring:**\n\nPatients undergoing PRRT are closely monitored for side effects and response to treatment. Blood tests, imaging scans, and other tests may be used to assess progress.'",,,
5G,Wie viele PRRT-Behandlungen kann man bekommen?,german,specific,therapy,gemini-1.0-pro-001,"'Die Anzahl der PRRT-Behandlungen, die ein Patient erhalten kann, hängt von verschiedenen Faktoren ab, darunter:\n\n* **Krankheitsstadium:**', ' Patienten im Frühstadium können möglicherweise mehr Behandlungen erhalten als Patienten im fortgeschrittenen Stadium.\n* **Ansprechen auf die Behandlung:** Patienten,', ' die gut auf die Behandlung ansprechen, können möglicherweise mehr Behandlungen erhalten.\n* **Nebenwirkungen:** Die Anzahl der Behandlungen kann durch Nebenwirkungen wie Knochenmarkunterdrückung oder Nierenschäden begrenzt sein.\n* **', 'Gesamtzustand des Patienten:** Der allgemeine Gesundheitszustand des Patienten kann die Anzahl der Behandlungen beeinflussen.\n\nIm Allgemeinen erhalten Patienten mit PRRT 2-4 Behandlungen im Abstand von 6-8 Wochen. In einigen Fällen können Patienten', ' jedoch mehr oder weniger Behandlungen erhalten.\n\nEs ist wichtig, mit dem behandelnden Arzt zu sprechen, um die optimale Anzahl von PRRT-Behandlungen für den individuellen Patienten zu bestimmen.'",,,
5E,How many PRRT treatments can you have,english,specific,therapy,gemini-1.0-pro-001,"'The number of PRRT treatments a patient can receive depends on several factors, including their overall health, the type of cancer they have, and', ' their response to the treatment. In general, most patients receive 2-4 cycles of PRRT, with each cycle lasting ', '4-6 weeks. However, some patients may receive more or fewer cycles depending on their individual circumstances.'",,,
