QuestionId,Question,language,Type,Categorie,LLM,answer,correctness,relevance,specificity
1G,Was ist der Stellenwert von PRRT innerhalb GEP-NET?,german,general,therapy,mistral-large-2402,"PRRT (Peptide Receptor Radionuclide Therapy) spielt eine bedeutende Rolle bei der Behandlung von GEP-NET (gastroenteropankreatische neuroendokrine Tumoren). Diese Therapieform zielt darauf ab, radioaktive Substanzen direkt an die Tumorzellen zu liefern, um sie gezielt zu zerstören.

PRRT nutzt die Tatsache aus, dass viele neuroendokrine Tumoren eine hohe Anzahl an Somatostatinrezeptoren aufweisen. Somatostatin ist ein natürlich vorkommendes Hormon, das das Wachstum von neuroendokrinen Tumoren hemmen kann. Bei der PRRT werden somatostatinähnliche Peptide verwendet, die mit einem radioaktiven Isotop markiert sind. Diese Peptide binden an die Somatostatinrezeptoren auf den Tumorzellen und liefern so die radioaktive Strahlung direkt an den Tumor.

Die PRRT hat sich als wirksame Behandlungsoption für Patienten mit fortgeschrittenen oder metastasierten GEP-NET erwiesen, die nicht mehr auf andere Therapien ansprechen. Sie kann das Tumorwachstum verlangsamen, die Symptome lindern und die Lebensqualität der Patienten verbessern.

In der ITM Isotope Technologies Munich SE wird die PRRT mit dem radioaktiven Isotop Lutetium-177 (177Lu) durchgeführt. Das Unternehmen bietet eine hochreine Form von 177Lu an, die für die Herstellung von Radiopharmaka zur Behandlung von Krebserkrankungen verwendet wird.

Insgesamt hat die PRRT einen hohen Stellenwert bei der Behandlung von GEP-NET und ist eine wichtige Ergänzung zu anderen Therapieoptionen wie der Chirurgie, der Chemotherapie und der zielgerichteten Therapie. Die ITM Isotope Technologies Munich SE leistet mit ihrer Expertise in der Herstellung von radioaktiven Isotopen einen wichtigen Beitrag zur Weiterentwicklung und Verbesserung der PRRT.",,,
1E,What is the role of PRRT in GEP-NET?,english,general,therapy,mistral-large-2402,"PRRT, or Peptide Receptor Radionuclide Therapy, is a type of targeted therapy used for treating neuroendocrine tumors, including Gastroenteropancreatic Neuroendocrine Tumors (GEP-NETs).

In GEP-NETs, certain cells in the digestive tract or pancreas produce excess hormones, leading to various symptoms. These cells often have receptors for certain hormones, such as somatostatin. PRRT takes advantage of this by using a somatostatin analogue, which is a synthetic version of the hormone, to deliver radiation directly to the tumor cells.

The somatostatin analogue is linked to a radioactive isotope. When injected into the patient, the analogue seeks out and binds to the somatostatin receptors on the tumor cells, delivering a high dose of radiation directly to the tumor while minimizing exposure to healthy tissue.

ITM Isotope Technologies Munich SE, as a pharma company specializing in radioisotopes, likely plays a role in the production of the radioactive isotopes used in PRRT. These could include isotopes like Lutetium-177 or Yttrium-90, which are commonly used in PRRT for GEP-NETs.",,,
2G,Für welche Indikationen ist PRRT zugelassen?,german,specific,therapy,mistral-large-2402,"PRRT, or Peptide Receptor Radionuclide Therapy, is a type of targeted radiation therapy used for treating certain types of cancers. In the context of ITM Isotope Technologies Munich SE, they are known for their work with PRRT using radioisotopes like Lutetium-177 (Lu-177) and Yttrium-90 (Y-90).

As of now, PRRT with Lu-177 dotatate (Lutathera) is FDA-approved for the treatment of gastroenteropancreatic neuroendocrine tumors (GEP-NETs), including foregut, midgut, and hindgut neuroendocrine tumors in adults. This approval is based on a clinical trial that showed significant improvement in progression-free survival for patients treated with Lutathera compared to those treated with a high dose of octreotide.

However, the specific indications for PRRT can vary depending on the country and the regulatory body. It's always a good idea to consult with a healthcare professional or refer to the latest clinical guidelines for the most accurate and up-to-date information.",,,
2E,For which indication is PRRT approved?,english,specific,therapy,mistral-large-2402,"PRRT, or Peptide Receptor Radionuclide Therapy, is a type of targeted radiation therapy used for treating neuroendocrine tumors (NETs). The U.S. Food and Drug Administration (FDA) has approved the use of Lutathera (lutetium Lu 177 dotatate), a type of PRRT, for the treatment of somatostatin receptor-positive gastroenteropancreatic neuroendocrine tumors (GEP-NETs) in adults.

ITM Isotope Technologies Munich SE is indeed involved in the production of radioisotopes used in such therapies. However, for the most accurate and up-to-date information about their specific products and approvals, it's best to consult the company's official website or directly contact them.",,,
3G,Welche Rolle spielt PRRT im chirurgischen Setting bei GEP-NET?,german,specific,therapy,mistral-large-2402,"PRRT (Peptide Receptor Radionuclide Therapy) spielt im chirurgischen Setting bei GEP-NET (Gastroenteropankreatische neuroendokrine Tumoren) eine ergänzende Rolle.

GEP-NET sind seltene Tumoren, die sich aus Zellen des neuroendokrinen Systems im Magen-Darm-Trakt entwickeln. Die Behandlung dieser Tumoren hängt von verschiedenen Faktoren wie Stadien, Grad und Lokalisation ab.

Die chirurgische Entfernung des Tumors ist, wenn möglich, die bevorzugte Behandlungsmethode. Allerdings sind viele dieser Tumoren bei der Diagnose bereits fortgeschritten oder metastasiert, was eine vollständige chirurgische Entfernung unmöglich macht.

Hier kommt die PRRT ins Spiel. Bei der PRRT werden radioaktiv markierte Peptide verwendet, die spezifisch an die Rezeptoren der Tumorzellen binden und so eine gezielte Strahlentherapie ermöglichen. Die PRRT kann verwendet werden, um das Tumorwachstum zu kontrollieren, Symptome zu lindern und die Lebensqualität der Patienten zu verbessern.

Im chirurgischen Setting kann die PRRT vor der Operation eingesetzt werden, um den Tumor zu verkleinern und so eine chirurgische Entfernung zu ermöglichen. Nach der Operation kann die PRRT verwendet werden, um eventuelle verbleibende Tumorzellen zu zerstören und so das Risiko eines Rezidivs zu verringern.

Insgesamt spielt die PRRT eine wichtige Rolle im multimodalen Behandlungsansatz von GEP-NET. Sie kann sowohl vor als auch nach der chirurgischen Behandlung eingesetzt werden, um das bestmögliche Behandlungsergebnis für die Patienten zu erzielen.",,,
3E,What is the place of using PRRT in the surgical setting in GEP-NET?,english,specific,therapy,mistral-large-2402,"PRRT, or Peptide Receptor Radionuclide Therapy, is a type of targeted therapy that uses radioactive molecules to target and kill cancer cells. In the context of GEP-NETs (Gastroenteropancreatic Neuroendocrine Tumors), PRRT is typically used as a systemic treatment rather than in a surgical setting.

PRRT works by exploiting the fact that many neuroendocrine tumors, including GEP-NETs, have an overabundance of certain receptors on their cell surfaces. These receptors can bind to certain hormones or other signaling molecules, allowing the cells to grow and divide uncontrollably. PRRT uses a radioactive molecule that is designed to bind to these receptors, allowing the radiation to be delivered directly to the tumor cells, while minimizing exposure to healthy tissues.

In the surgical setting, PRRT may be used in a limited way as an adjuvant therapy after surgery to remove the primary tumor. The goal of adjuvant therapy is to eliminate any remaining cancer cells that may have been left behind after surgery, reducing the risk of recurrence. However, the primary use of PRRT is as a systemic therapy for patients with advanced or metastatic GEP-NETs, where surgery is not a viable option.

In summary, PRRT is not typically used in the surgical setting for GEP-NETs, but may be used as an adjuvant therapy after surgery in some cases. Its primary use is as a systemic therapy for advanced or metastatic disease. As always, the specific treatment approach will depend on the individual patient's needs and circumstances, and should be determined in consultation with a multidisciplinary team of healthcare professionals.",,,
4G,Was ist Peptidrezeptor-Radionuklid-Therapie (PRRT)?,german,general,definition,mistral-large-2402,"Peptidrezeptor-Radionuklid-Therapie (PRRT) is a form of targeted radiation therapy used for treating certain types of cancers, primarily neuroendocrine tumors (NETs). This therapy utilizes radioactive isotopes combined with peptides, which are small chains of amino acids, to specifically target and bind to cancer cells that express specific receptors, such as somatostatin receptors.

In PRRT, the radioactive peptide is injected into the patient's bloodstream. The peptide then circulates throughout the body and selectively attaches to the cancer cells expressing the target receptors. Once attached, the radioactive isotope emits radiation, damaging the cancer cells' DNA and ultimately killing them or inhibiting their growth.

ITM Isotope Technologies Munich SE, as a pharmaceutical company, is involved in the development and production of radioisotopes and radiopharmaceuticals used for both diagnostic and therapeutic purposes, including PRRT.",,,
4E,What is Peptide Receptor Radionuclide Therapy (PRRT)?,english,general,definition,mistral-large-2402,"Peptide Receptor Radionuclide Therapy (PRRT) is a form of targeted cancer treatment that uses radioactive isotopes to destroy cancer cells. This therapy is commonly used for the treatment of neuroendocrine tumors, which are tumors that originate from the cells of the hormonal and nervous systems.

In PRRT, a small molecule called a peptide is used to deliver a radioactive isotope directly to cancer cells. The peptide is designed to bind to specific receptors on the surface of cancer cells, allowing the radioactive isotope to be taken up by the cells and destroy them from within.

ITM Isotope Technologies Munich SE is one of the companies that specializes in the production of radioisotopes used in PRRT. The company's radioisotopes are used in a variety of PRRT treatments, including those for neuroendocrine tumors, prostate cancer, and other cancers.

PRRT has several advantages over traditional cancer treatments, including the ability to target cancer cells specifically, which can reduce damage to healthy tissues. The treatment is also well-tolerated by most patients and can be repeated if necessary. However, PRRT is not suitable for all types of cancer, and its effectiveness can depend on a variety of factors, including the type and stage of the cancer being treated.",,,
5G,Wie viele PRRT-Behandlungen kann man bekommen?,german,specific,therapy,mistral-large-2402,"The number of PRRT (Peptide Receptor Radionuclide Therapy) treatments a patient can receive can vary depending on several factors, including the type and stage of the cancer, the patient's overall health, the specific treatment protocol being used, and the patient's response to the treatment.

Typically, PRRT treatments are given in cycles, with each cycle consisting of one or more treatment sessions followed by a rest period. The number of cycles can vary, but it's common for patients to receive between 2 to 4 cycles of treatment.

However, it's important to note that the specific number of PRRT treatments a patient can receive will depend on their individual circumstances, and will be determined by their medical team. The medical team will consider factors such as the patient's kidney function, blood cell counts, and overall response to treatment when deciding how many treatment cycles to administer.

Therefore, it's best to consult with a healthcare professional or a medical team experienced in PRRT to determine the appropriate number of treatments for a particular patient. They can provide personalized advice based on the patient's specific medical history, diagnosis, and treatment goals.",,,
5E,How many PRRT treatments can you have,english,specific,therapy,mistral-large-2402,"PRRT, or Peptide Receptor Radionuclide Therapy, is a type of targeted radiation therapy used to treat certain types of neuroendocrine tumors. The number of PRRT treatments a patient can have typically depends on various factors, including the specific type of PRRT being used, the patient's overall health, how well the patient tolerates the treatment, and the response to the treatment.

For instance, with Lutathera (lutetium Lu 177 dotatate), a commonly used PRRT drug, patients usually receive four cycles of treatment, each cycle given approximately every 8 weeks. However, the exact number of treatments can vary based on the factors mentioned above and the treating physician's discretion.

ITM Isotope Technologies Munich SE is indeed involved in the production of radioisotopes used in such therapies, but the specific treatment regimen would be determined by the treating medical team. It's always important to consult with a healthcare provider for personalized medical advice.",,,
