QuestionId,Question,language,Type,Categorie,LLM,answer,correctness,relevance,specificity
1G,Was ist der Stellenwert von PRRT innerhalb GEP-NET?,german,general,therapy,mistral-medium-2312,"PRRT (Peptide Receptor Radionuclide Therapy) is an important treatment option for patients with GEP-NET (Gastroenteropancreatic Neuroendocrine Tumors). It is a type of targeted therapy that uses a radioactive substance attached to a molecule that binds to specific receptors on the surface of cancer cells. This allows for the delivery of a high dose of radiation directly to the tumor, while minimizing damage to surrounding healthy tissue.

ITM Isotope Technologies Munich SE is a company that specializes in the development and production of radioisotopes and radiopharmaceuticals for use in medical imaging and therapy, including PRRT for GEP-NET. The company's products are used in hospitals and clinics around the world to diagnose and treat a variety of diseases, including cancer.

The role of PRRT within GEP-NET is significant, as it is considered a standard of care for patients with advanced or metastatic GEP-NET. It has been shown to improve symptoms and prolong survival in these patients. ITM's products play a crucial role in making this therapy available to patients, and the company is committed to advancing the field of nuclear medicine through research and development.

In summary, PRRT is an important treatment option for GEP-NET patients and ITM Isotope Technologies Munich SE is a company that plays a significant role in the development and production of the radioisotopes and radiopharmaceuticals used in PRRT.",,,
1E,What is the role of PRRT in GEP-NET?,english,general,therapy,mistral-medium-2312,"PRRT (Peptide Receptor Radionuclide Therapy) is a type of molecular targeted radiation therapy used to treat Gastroenteropancreatic Neuroendocrine Tumors (GEP-NETs). It involves the use of a radioactive substance, which is attached to a molecule that specifically targets certain receptors on the surface of the cancer cells. This allows for the delivery of a high dose of radiation directly to the tumor, while minimizing damage to surrounding healthy tissues. ITM Isotope Technologies Munich SE is a company that develops and manufactures isotopes and radioactive substances for use in medical treatments, including PRRT for GEP-NETs. They are located in Garching near Munich, Germany.

In the case of GEP-NETs, PRRT is used to treat advanced or metastatic tumors that express somatostatin receptors. The treatment is typically done in combination with other therapies, such as somatostatin analogues, which can help to control symptoms and slow tumor growth. PRRT has been shown to be effective in improving symptoms, reducing tumor size, and prolonging survival in patients with GEP-NETs.

ITM Isotope Technologies Munich SE is one of the leading companies in the development and production of radioisotopes for PRRT, including Lutetium-177 (Lu-177) and Yttrium-90 (Y-90). They have developed a proprietary method for producing high-purity Lu-177, which is used in the treatment of GEP-NETs. The company also provides support for hospitals and clinics that offer PRRT, including training and education for medical staff, as well as logistical support for the delivery of the radioisotopes.",,,
2G,Für welche Indikationen ist PRRT zugelassen?,german,specific,therapy,mistral-medium-2312,"PRRT (Peptide Receptor Radionuclide Therapy) using lutetium-177 (177Lu) is currently approved for the treatment of certain types of neuroendocrine tumors (NETs). Specifically, it is indicated for adult patients with unresectable or metastatic, progressive, well-differentiated (G1 and G2), somatostatin receptor-positive gastroenteropancreatic neuroendocrine tumors (GEP-NETs) in the European Union. The brand name of ITM's product for PRRT is n.c.a.® 177Lu-Edotreotide (Solucin®). Please consult with a healthcare professional for more information on the indications and usage of PRRT.",,,
2E,For which indication is PRRT approved?,english,specific,therapy,mistral-medium-2312,PRRT (Peptide Receptor Radionuclide Therapy) is approved for the treatment of neuroendocrine tumors (NETs) expressing somatostatin receptors. ITM Isotope Technologies Munich SE produces the radioisotope no-carrier-added (n.c.a.) Lutetium-177 (^{177}Lu) which is used in the radiopharmaceutical ^{177}Lu-DOTATATE (also known as Lutathera) for PRRT. Lutathera received approval from the European Medicines Agency (EMA) in 2017 and from the U.S. Food and Drug Administration (FDA) in 2018 for the treatment of certain types of gastroenteropancreatic neuroendocrine tumors (GEP-NETs) and somatostatin receptor-positive NETs.,,,
3G,Welche Rolle spielt PRRT im chirurgischen Setting bei GEP-NET?,german,specific,therapy,mistral-medium-2312,"PRRT (Peptide Receptor Radionuclide Therapy) is a type of molecular therapy used to treat neuroendocrine tumors (NETs), including gastroenteropancreatic neuroendocrine tumors (GEP-NETs). It involves the administration of a radiolabeled peptide that targets specific receptors on the surface of tumor cells. The radiation emitted by the radioisotope destroys the tumor cells.

In the surgical setting, PRRT is not typically used as a primary treatment. Instead, it is often used as an adjuvant therapy following surgical resection of the tumor. PRRT can be used to target and destroy any remaining cancer cells that may have been left behind after surgery, reducing the risk of recurrence. In some cases, PRRT may also be used to shrink large tumors before surgery, making them easier to remove.

Overall, PRRT can play an important role in the multidisciplinary management of GEP-NETs, and its use in the surgical setting can help to improve patient outcomes. ITM Isotope Technologies Munich SE is a company that specializes in the development and production of radioisotopes for use in molecular therapies, including PRRT.",,,
3E,What is the place of using PRRT in the surgical setting in GEP-NET?,english,specific,therapy,mistral-medium-2312,,,,
4G,Was ist Peptidrezeptor-Radionuklid-Therapie (PRRT)?,german,general,definition,mistral-medium-2312,"Peptide Receptor Radionuclide Therapy (PRRT) is a type of targeted therapy used to treat certain types of cancer. PRRT involves the use of a radiopharmaceutical, which consists of a radionuclide (a type of radioactive substance) that is attached to a peptide (a small protein). The peptide is designed to bind specifically to receptors on the surface of cancer cells, allowing the radionuclide to be delivered directly to the tumor. Once the radionuclide is inside the cancer cells, it emits radiation that destroys the cells. PRRT is used primarily to treat neuroendocrine tumors, which are cancers that arise from neuroendocrine cells, a type of cell that releases hormones into the bloodstream. ITM Isotope Technologies Munich SE is a company that specializes in the production of radiopharmaceuticals for use in targeted therapies such as PRRT.",,,
4E,What is Peptide Receptor Radionuclide Therapy (PRRT)?,english,general,definition,mistral-medium-2312,"Peptide Receptor Radionuclide Therapy (PRRT) is a type of targeted therapy used to treat certain types of cancer, including neuroendocrine tumors (NETs). PRRT involves the use of a radioactive substance that is attached to a peptide (a small protein) that targets specific receptors on the surface of cancer cells. The radioactive peptide is then injected into the patient's bloodstream, where it travels to the tumor site and binds to the receptors, delivering a high dose of radiation directly to the cancer cells while minimizing damage to surrounding healthy tissue. ITM Isotope Technologies Munich SE is a company that develops and manufactures radiopharmaceuticals for use in targeted therapies like PRRT.",,,
5G,Wie viele PRRT-Behandlungen kann man bekommen?,german,specific,therapy,mistral-medium-2312,"The number of Peptide Receptor Radionuclide Therapy (PRRT) treatments a patient can receive depends on several factors, including the patient's overall health, the severity of their condition, and the specific type of PRRT being used. It is generally recommended that patients receive a maximum of 4 cycles of PRRT, with each cycle consisting of 2 to 4 treatments spaced several weeks apart. However, this may vary depending on the individual case and the discretion of the treating physician. It is always best to consult with a medical professional for personalized advice on PRRT treatment options.

Note: ITM Isotope Technologies Munich SE is a company that develops and produces radionuclides for use in medical imaging and therapy, including PRRT. However, the company does not administer PRRT treatments directly to patients. This is typically done by hospitals and medical centers that specialize in nuclear medicine.",,,
5E,How many PRRT treatments can you have,english,specific,therapy,mistral-medium-2312,"PRRT (Peptide Receptor Radionuclide Therapy) is a type of targeted radiation therapy used to treat certain types of cancer, such as neuroendocrine tumors. The number of PRRT treatments a patient can have depends on several factors, including the type and stage of cancer, the patient's overall health, and their response to previous treatments.

There is no set limit on the number of PRRT treatments a patient can have, but typically patients receive 4 cycles of treatment, with each cycle consisting of a single infusion of a radioactive substance. However, some patients may require additional treatments depending on their individual circumstances.

It's important to note that PRRT is not a cure for cancer, but it can help to control the growth of tumors and alleviate symptoms. The decision to continue PRRT treatments should be made in consultation with the patient's healthcare team, taking into account the potential benefits and risks of each treatment.

ITM Isotope Technologies Munich SE is a company that develops and manufactures radioactive isotopes for use in medical imaging and therapy, including PRRT. However, the decision to prescribe PRRT and the number of treatments a patient can have is ultimately made by the patient's healthcare provider.",,,
